FMU,year_updated
1,1979
2,1980
4,1980
5,1981
6,1982
7,1982
10,2002
11,1981
12,1981
13,1983
14,1981
15,1982
20,1983
23,1983
30,1983
31,1986
35,1984
36,1986
37,1986
38,1984
39,1984
40,1992
41,1992
42,1981
43,1993
45,1993
46,1993
47,1996
51,1996
52,1995
53,1996
54,1996
55,1995
56,1995
57,1995
60,2007
61,2007
62,2007
63,2007
64,1987
65,2007
66,1998
71,1975
72,1975
73,1975
74,1975
75,1969
82,1990
83,1985
84,1985
85,1985
86,1991
87,1985
88,1991
89,1991
90,1973
91,1973
92,1973
93,1973
94,1969
95,1973
96,1973
97,1973
98,1973
99,1967
